"","decimalLongitude","decimalLatitude","species"
"9",25.785864,-33.58612,1
"10",25.775768,-33.436431,1
"11",25.739075,-33.432482,1
"12",25.710501,-33.571434,1
"13",35.211418,-14.873456,1
"14",32.252946,-28.342282,1
"15",37.667059,-0.889087,1
"16",16.926249,-18.734422,1
"17",31.888776,-28.221753,1
"18",31.886387,-28.323698,1
"19",32.559454,-28.365326,1
"20",32.430725,-28.332739,1
"21",25.651817,-33.444577,1
"22",31.859101,-28.368539,1
"23",31.684986,-24.211947,1
"24",31.977754,-28.352047,1
"25",31.905196,-28.377509,1
"26",25.636045,-33.506927,1
"27",24.108265,-23.519468,1
"28",31.472419,-25.224288,1
"29",31.766988,-25.139741,1
"30",25.762537,-33.454198,1
"31",31.733189,-24.521667,1
"32",31.406071,-23.904056,1
"33",29.847914,-0.189538,1
"34",30.01754,-0.149942,1
"35",25.773694,-33.463081,1
"36",25.69679,-33.571984,1
"37",31.981642,-28.398474,1
"38",31.882174,-28.249835,1
"39",31.853453,-28.31949,1
"40",31.95564,-28.357256,1
"41",31.867263,-28.195456,1
"42",31.991883,-28.182417,1
"43",31.964851,-28.237715,1
"44",31.953205,-28.376078,1
"45",25.725111,-33.570325,1
"46",34.883858,-1.317647,1
"47",35.134452,-2.466134,1
"48",30.125479,-0.129725,1
"49",25.612483,-33.521555,1
"50",25.93938,-33.425693,1
"51",32.584317,-28.391824,1
"52",25.656215,-33.595153,1
"53",25.900501,-33.418841,1
"54",35.533882,-3.063879,1
"55",25.829951,-33.416453,1
"56",36.958034,-0.349929,1
"57",25.806569,-33.498241,1
"58",25.864898,-33.5246,1
"59",25.924725,-33.351679,1
"60",32.571516,-28.09439,1
"61",35.634299,-3.572873,1
"62",32.580834,-27.083412,1
"63",32.546968,-27.074303,1
"64",25.691508,-33.540501,1
"65",35.932192,-3.862872,1
"66",31.805836,-25.269407,1
"67",31.895387,-25.21028,1
"68",31.842807,-25.304234,1
"69",31.823398,-25.307243,1
"70",31.910141,-25.308334,1
"71",36.873869,-7.56297,1
"72",14.021418,-19.997426,1
"73",19.866853,10.830396,1
"74",35.821818,-3.947824,1
"75",27.02558,-25.239662,1
"76",22.889928,-33.895723,1
"77",25.749806,-33.599125,1
"78",25.777695,-33.597015,1
"79",25.769732,-33.563683,1
"80",25.789347,-33.417771,1
"81",25.787977,-33.219275,1
"82",25.655487,-33.412478,1
"83",25.774667,-33.574416,1
"84",25.750572,-33.550192,1
"85",31.315346,-23.107491,1
"86",31.991966,-24.210162,1
"87",31.940315,-24.922522,1
"88",31.813766,-25.063189,1
"89",31.587708,-25.441837,1
"90",31.511302,-25.574688,1
"91",31.623522,-25.398352,1
"92",31.622951,-24.927563,1
"93",31.898248,-25.068643,1
"94",31.608604,-25.295005,1
"95",31.51994,-25.273227,1
"96",19.903919,10.865038,1
"97",31.462205,-23.794426,1
"98",25.78667,-33.540361,1
"99",25.744659,-33.466405,1
"100",25.608878,-33.548336,1
"101",25.677228,-33.418759,1
"102",25.750005,-33.545256,1
"103",14.223627,-20.463506,1
"104",31.513852,-25.064521,1
"105",31.975566,-28.312269,1
"106",31.405079,-25.133723,1
"107",31.532581,-25.099881,1
"108",31.470456,-25.140727,1
"109",31.574645,-25.066996,1
"110",25.99278,-33.661098,1
"111",25.837161,-33.604693,1
"112",25.607769,-33.412788,1
"113",21.381033,-29.889122,1
"114",22.525246,-33.844103,1
"115",25.95191,-33.497568,1
"116",23.520631,-18.426717,1
"117",21.861334,-20.118776,1
"118",31.353621,-23.714389,1
"119",31.804588,-25.140475,1
"120",25.932458,-33.51972,1
"121",34.688525,-15.885897,1
"122",23.651843,-19.504505,1
"123",21.93608,-34.072753,1
"124",21.706633,-34.284657,1
"125",21.780072,-34.344182,1
"126",37.911541,-2.801288,1
"127",22.871284,-33.88947,1
"128",27.437302,-24.502918,1
"129",22.368824,-33.534253,1
"130",21.03845,-19.681227,1
"131",15.601197,-18.800298,1
"132",27.015441,-25.261571,1
"133",31.515131,-24.853917,1
"134",32.171143,-28.389832,1
"135",15.615531,-18.741143,1
"136",25.901262,-33.567575,1
"137",25.85824,-33.526606,1
"138",32.542315,-28.314698,1
"139",32.233422,-28.119506,1
"140",21.60573,-18.362201,1
"141",38.586724,-3.284781,1
"142",28.04162,-24.879173,1
"143",32.090787,-21.540378,1
"144",27.17079,-25.278291,1
