"","decimalLongitude","decimalLatitude","species"
"9",30.39697,0.447604,1
"10",11.813324,-0.304616,1
"11",9.232823,-0.088172,1
"12",14.833106,0.702281,1
"13",29.492329,3.606308,1
"14",15.362247,0.790332,1
"15",14.918193,0.68518,1
"16",11.416534,-0.151582,1
"17",9.392244,-0.171032,1
"18",29.502003,3.786184,1
"19",14.741415,0.924711,1
"20",14.67094,0.949599,1
"21",14.79268,0.900437,1
"22",14.866907,0.546449,1
"23",11.124306,0.591657,1
"24",9.220742,-0.093308,1
"25",14.872809,0.477068,1
"26",14.892299,0.549264,1
"27",14.606397,0.451407,1
"28",16.31183,2.962991,1
"29",16.324327,2.911861,1
"30",16.237922,2.969435,1
"31",16.239216,2.824692,1
"32",16.343215,2.978837,1
"33",16.230584,2.98526,1
"34",-1.885287,9.273719,1
"35",-1.81889,9.222718,1
"36",15.362634,0.666147,1
"37",14.692724,0.588255,1
"38",15.042765,0.697982,1
"39",16.009563,2.803364,1
"40",10.448859,-2.041982,1
"41",-1.9614,9.567323,1
"42",14.813792,0.775534,1
"43",15.361446,0.647476,1
"44",30.306866,0.541877,1
"45",9.009776,4.119407,1
"46",-2.512201,5.213453,1
"47",-1.901108,9.335265,1
"48",11.597427,-0.455965,1
"49",13.437396,-1.964532,1
"50",14.031265,-2.073951,1
"51",16.330294,2.969145,1
"52",16.352253,2.982834,1
"53",16.336363,2.889818,1
"54",16.281613,2.939036,1
"55",16.260295,2.991188,1
"56",16.336213,2.987774,1
"57",16.398035,2.836503,1
"58",-1.809395,9.265463,1
"59",13.691124,2.084249,1
"60",13.609084,-2.362621,1
"61",29.223219,3.653272,1
"62",-2.590027,5.312501,1
"63",10.135618,-2.696151,1
"64",11.45055,-3.872697,1
"65",-8.513818,5.456932,1
"66",-8.513547,5.456842,1
"67",-8.547157,5.490547,1
"68",-8.545334,5.48937,1
"69",-8.509519,5.492507,1
"70",-8.505586,5.489202,1
"71",-8.544441,5.48851,1
"72",-8.50287,5.487129,1
"73",-8.561347,5.504235,1
"74",-8.51219,5.494328,1
"75",-8.474508,5.495354,1
"76",-8.561383,5.504398,1
"77",-8.50821,5.568584,1
"78",-10.477858,7.86084,1
"79",-10.477858,7.86084,1
"80",-8.656236,5.367273,1
"81",-8.67875,5.393655,1
"82",-8.711383,5.349082,1
"83",-8.662127,5.3716,1
"84",-8.643009,5.434362,1
"85",-8.67977,5.394434,1
"86",-8.691489,5.40582,1
"87",39.405899,-4.252948,1
"88",10.364811,0.223867,1
"89",9.428959,-2.12051,1
"90",8.910325,5.117758,1
"91",-8.544147,5.399811,1
"92",-8.547087,5.402301,1
"93",-8.540853,5.397728,1
"94",-10.616477,7.570139,1
"95",-10.617399,7.576836,1
"96",-10.616603,7.570111,1
"97",-10.608651,7.568721,1
"98",-10.61654,7.570175,1
"99",-10.641258,7.583808,1
"100",-10.617192,7.616089,1
"101",-10.607245,7.568211,1
"102",-10.641169,7.582063,1
"103",-10.617175,7.61164,1
"104",-10.641178,7.584369,1
"105",-10.608768,7.568603,1
"106",-10.641235,7.585138,1
"107",-10.617067,7.570534,1
"108",-10.616413,7.570103,1
"109",-10.641151,7.584424,1
"110",-10.641226,7.584993,1
"111",-10.61533,7.571201,1
"112",-10.617291,7.61598,1
"113",-10.617184,7.611631,1
"114",-10.617039,7.570408,1
"115",-10.641215,7.582009,1
"116",12.679448,0.132083,1
"117",-8.736389,5.297067,1
"118",-8.702894,5.304117,1
"119",-8.711753,5.311205,1
"120",-8.570558,5.399631,1
"121",-8.580282,5.407925,1
"122",-8.580883,5.439831,1
"123",-8.578763,5.43803,1
"124",-8.579124,5.438392,1
"125",-8.584492,5.442566,1
"126",-8.595023,5.461516,1
"127",-8.59983,5.427333,1
"128",-8.570415,5.473856,1
"129",-8.595023,5.461516,1
"130",-8.567446,5.471737,1
"131",-8.569621,5.47334,1
"132",-8.565966,5.470949,1
"133",-8.568547,5.472606,1
"134",-8.603919,5.468822,1
"135",-8.575269,5.477568,1
"136",-8.566661,5.471338,1
"137",-8.60381,5.468578,1
"138",-8.577876,5.479406,1
"139",10.056418,-2.691178,1
"140",-8.514729,5.457937,1
"141",-8.511048,5.45494,1
"142",29.447631,4.080628,1
"143",-8.824686,5.274627,1
"144",-8.784516,5.306512,1
"145",-8.786522,5.32295,1
"146",-10.713397,7.574425,1
"147",-10.713579,7.558402,1
"148",-8.511842,5.455492,1
"149",-8.536402,5.482641,1
"150",-8.515071,5.458354,1
"151",-8.511075,5.454976,1
"152",-8.483354,5.464723,1
"153",-8.340571,5.47533,1
"154",-8.514241,5.457584,1
"155",-8.339921,5.474605,1
"156",-8.476624,5.459561,1
"157",-8.533515,5.48054,1
"158",-8.512316,5.494645,1
"159",-8.547545,5.490755,1
"160",-8.473353,5.494494,1
"161",-8.514283,5.49613,1
"162",-8.515446,5.497063,1
"163",-8.513732,5.495939,1
"164",-8.506882,5.526338,1
"165",-8.555126,5.270114,1
"166",-8.612593,5.28545,1
"167",-8.61584,5.287894,1
"168",-8.610428,5.283865,1
"169",-8.564652,5.313914,1
"170",-8.513783,5.341693,1
"171",-8.513603,5.341602,1
"172",-8.746064,5.382985,1
"173",-8.54761,5.402663,1
"174",-8.543452,5.399186,1
"175",-8.581184,5.408694,1
"176",-8.579322,5.43812,1
"177",-8.600975,5.428456,1
"178",-8.599676,5.427125,1
"179",-8.604144,5.468876,1
"180",-8.584636,5.442774,1
"181",-8.568249,5.472561,1
"182",-8.569061,5.473167,1
"183",-8.59791,5.46387,1
"184",-8.603783,5.468478,1
"185",-8.56935,5.473294,1
"186",-8.573969,5.476636,1
"187",-8.579573,5.480873,1
"188",-8.572309,5.475449,1
"189",-8.575802,5.515065,1
"190",-1.837104,9.22368,1
"191",-8.476609,5.382614,1
"192",-8.50704,5.410312,1
"193",-8.511949,5.378193,1
"194",-8.504235,5.408102,1
"195",-8.506751,5.410239,1
"196",-8.509485,5.412304,1
"197",-8.512363,5.41436,1
"198",-8.511497,5.413708,1
"199",-8.514085,5.415727,1
"200",-8.711058,5.31077,1
"201",-8.730417,5.291031,1
"202",-8.73269,5.293275,1
"203",-8.713124,5.312318,1
"204",-8.744538,5.342122,1
"205",-8.744763,5.344013,1
"206",-8.759363,5.328938,1
"207",-8.702903,5.341063,1
"208",-8.655243,5.366549,1
"209",-8.654449,5.365915,1
"210",-8.617333,5.368797,1
"211",-8.64116,5.432769,1
"212",-8.395578,5.452456,1
"213",11.367135,-4.119308,1
"214",-8.586167,5.260528,1
"215",-8.555594,5.270702,1
"216",-8.530976,5.282671,1
"217",-8.756386,5.277888,1
"218",-8.530895,5.282616,1
"219",-8.525168,5.277781,1
"220",-8.767952,5.289363,1
"221",-8.73877,5.299447,1
"222",-8.769332,5.290721,1
"223",-8.533014,5.284934,1
"224",-8.731283,5.292062,1
"225",-8.741955,5.3019,1
"226",-8.713106,5.312237,1
"227",-8.784406,5.308991,1
"228",-8.75939,5.329327,1
"229",-8.784992,5.312049,1
"230",-8.786297,5.321675,1
"231",-8.757672,5.313613,1
"232",-8.745807,5.351359,1
"233",-8.743889,5.338639,1
"234",-8.758904,5.324867,1
"235",-8.743413,5.334749,1
"236",-8.743646,5.336685,1
"237",-8.555847,5.27063,1
"238",-8.555928,5.270703,1
"239",-8.556001,5.270703,1
"240",-8.555973,5.270694,1
"241",-8.553206,5.304416,1
"242",-8.565094,5.314213,1
"243",-8.565094,5.314213,1
"244",-8.563506,5.312909,1
"245",-8.560683,5.310528,1
"246",-8.565103,5.314222,1
"247",-8.612403,5.285269,1
"248",-8.612403,5.28526,1
"249",-8.608308,5.2822,1
"250",-8.612385,5.285269,1
"251",-8.61133,5.283549,1
"252",-8.589858,5.301094,1
"253",-8.543235,5.399051,1
"254",-8.543235,5.399051,1
"255",15.939393,2.580728,1
"256",15.652643,2.577395,1
"257",-8.582392,5.371316,1
"258",-8.449409,5.42802,1
"259",-8.451745,5.429723,1
"260",-8.449725,5.428255,1
"261",-8.470629,5.492031,1
"262",-8.51172,5.494282,1
"263",-8.511278,5.494038,1
"264",-8.543673,0.54682,1
"265",-8.542122,5.486744,1
"266",-8.543006,5.487432,1
"267",-8.543006,5.487432,1
"268",-8.543006,5.487432,1
"269",-8.543006,5.487432,1
"270",-8.543006,5.487432,1
"271",-8.546354,5.490013,1
"272",16.490103,2.473339,1
"273",9.999921,-1.888756,1
"274",10.000594,-2.707163,1
"275",30.109143,0.927396,1
"276",8.925543,5.148137,1
"277",9.652469,-2.4313,1
"278",12.964802,0.455139,1
"279",-10.833886,7.517173,1
"280",-10.833941,7.512933,1
"281",-10.833781,7.526631,1
"282",-10.83399,7.513782,1
"283",-10.833884,7.518909,1
"284",-10.834023,7.51748,1
"285",-10.833828,7.516369,1
"286",-10.833763,7.526658,1
"287",-10.833683,7.524823,1
"288",-10.833935,7.513774,1
"289",-10.833761,7.517481,1
"290",-10.833918,7.520428,1
"291",-10.833803,7.523186,1
"292",-10.8339,7.516188,1
"293",-10.833862,7.526622,1
"294",-10.833838,7.527164,1
"295",-10.833931,7.519171,1
"296",-10.833754,7.526577,1
"297",-10.833894,7.518945,1
"298",-10.833928,7.520735,1
"299",-10.83386,7.52173,1
"300",-10.833866,7.521115,1
"301",-10.833932,7.528131,1
"302",-10.833935,7.520256,1
"303",-11.002988,7.366056,1
"304",-11.002959,7.36583,1
"305",-11.002959,7.36583,1
"306",-10.929969,7.390886,1
"307",-10.95424,7.403085,1
"308",-10.953966,7.392282,1
"309",-10.930116,7.391202,1
"310",-10.930053,7.391338,1
"311",-10.930137,7.400387,1
"312",-10.929879,7.399313,1
"313",-10.930018,7.3916,1
"314",-10.93025,7.403325,1
"315",-10.929925,7.399412,1
"316",-10.810398,7.563897,1
"317",-10.78532,7.568765,1
"318",-10.810304,7.56303,1
"319",-10.810456,7.560335,1
"320",-10.810341,7.563138,1
"321",-10.810434,7.563671,1
"322",-10.810447,7.564611,1
"323",-10.810314,7.565407,1
"324",-10.810207,7.565833,1
"325",-10.809649,7.553774,1
"326",-10.810406,7.561465,1
"327",-10.785565,7.559949,1
"328",-10.784683,7.563587,1
"329",-10.81038,7.561565,1
"330",-10.785327,7.568359,1
"331",-10.80997,7.558926,1
"332",-10.809458,7.555737,1
"333",-10.785319,7.56844,1
"334",-10.809938,7.557778,1
"335",-10.810313,7.560778,1
"336",-10.784563,7.563208,1
"337",-10.767055,7.555892,1
"338",-10.784485,7.561707,1
"339",-10.785356,7.513549,1
"340",-10.785804,7.560888,1
"341",-10.862457,7.529186,1
"342",-10.906255,7.494688,1
"343",-10.857414,7.495855,1
