"","decimalLongitude","decimalLatitude","species"
"9",145.117656,-37.630969,1
"10",143.728785,-37.589398,1
"11",144.26808,-37.388807,1
"12",152.438455,-24.791445,1
"13",150.303458,-35.669432,1
"14",145.119128,-37.63059,1
"15",150.667358,-35.160717,1
"16",145.118903,-37.630792,1
"17",145.119011,-37.630691,1
"18",148.696167,-36.36045,1
"19",150.21083,-34.116828,1
"20",150.301494,-35.643372,1
"21",147.725,-37.925278,1
"22",144.289636,-37.477508,1
"23",143.887489,-37.550884,1
"24",150.291774,-34.641916,1
"25",150.164367,-30.273432,1
"26",145.276855,-38.14138,1
"27",145.256103,-38.124967,1
"28",153.371117,-29.366022,1
"29",149.027555,-35.32203,1
"30",147.728826,-37.926001,1
"31",152.935269,-31.474116,1
"32",152.998962,-26.254005,1
"33",152.348865,-24.866081,1
"34",149.161887,-35.316456,1
"35",146.617287,-41.145752,1
"36",144.849434,-37.644211,1
"37",152.834157,-31.490395,1
"38",148.927025,-35.448777,1
"39",149.161629,-35.315935,1
"40",145.263838,-38.13663,1
"41",149.938173,-36.948984,1
"42",149.215001,-35.208273,1
"43",150.558247,-34.853768,1
"44",150.897217,-32.175138,1
"45",150.164367,-30.273432,1
"46",146.986371,-36.778947,1
"47",147.724769,-37.926047,1
"48",151.95277,-24.290579,1
"49",152.87523,-25.610487,1
"50",144.94455,-38.357137,1
"51",144.50742,-37.65847,1
"52",150.164657,-30.280705,1
"53",152.348865,-24.866081,1
"54",147.729295,-37.926535,1
"55",149.161571,-35.274479,1
"56",148.949444,-35.323611,1
"57",153.372408,-29.364735,1
"58",149.980976,-36.621671,1
"59",153.149854,-30.201991,1
"60",144.945297,-38.356033,1
"61",152.885421,-27.136264,1
"62",145.2668,-38.127455,1
"63",149.047272,-33.351272,1
"64",145.144828,-37.796967,1
"65",144.267752,-37.388819,1
"66",144.267284,-37.388885,1
"67",144.267053,-37.389,1
"68",146.485282,-38.14379,1
"69",145.2384,-37.632226,1
"70",153.190132,-30.176643,1
"71",144.267752,-37.388819,1
"72",144.267752,-37.388819,1
"73",144.267053,-37.389,1
"74",144.267053,-37.389,1
"75",144.267053,-37.389,1
"76",144.288187,-37.408549,1
"77",149.067462,-35.268761,1
"78",153.194672,-28.168962,1
"79",144.267287,-37.388882,1
"80",144.272684,-37.388544,1
"81",144.267752,-37.388819,1
"82",145.237094,-37.630053,1
"83",144.267053,-37.389,1
"84",144.267053,-37.389,1
"85",144.267053,-37.389,1
"86",149.065919,-35.268751,1
"87",144.267053,-37.389,1
"88",144.267053,-37.389,1
"89",144.267053,-37.389,1
"90",153.190244,-30.176892,1
"91",149.723358,-33.407922,1
"92",144.267752,-37.388819,1
"93",149.166545,-35.16383,1
"94",144.165786,-37.866403,1
"95",144.267053,-37.389,1
"96",144.267053,-37.389,1
"97",148.186628,-40.843581,1
"98",149.968202,-32.855283,1
"99",150.22968,-34.991829,1
"100",148.489598,-36.106985,1
"101",148.206755,-35.715453,1
"102",148.06919,-42.581044,1
"103",150.740731,-34.01841,1
"104",145.255065,-37.950764,1
"105",145.348067,-16.783911,1
"106",149.378319,-36.173505,1
"107",153.021546,-27.303149,1
"108",153.021695,-27.30301,1
"109",143.729963,-38.624486,1
"110",149.046539,-33.350862,1
"111",147.182612,-34.804684,1
"112",150.770033,-34.720073,1
"113",149.045136,-33.35057,1
"114",149.045836,-33.350717,1
"115",150.698811,-34.749041,1
"116",140.625453,-34.29194,1
"117",140.800465,-34.063649,1
"118",144.963937,-37.618752,1
"119",151.70758,-30.613388,1
"120",152.856985,-26.377042,1
"121",144.884878,-37.568427,1
"122",152.989578,-26.407562,1
"123",145.680222,-28.069564,1
"124",150.764832,-34.700927,1
"125",150.697424,-34.749332,1
"126",145.065204,-37.709576,1
"127",143.694307,-36.599846,1
