species,decimalLongitude,decimalLatitude
1,30.39697,0.447604
1,15.362247,0.790332
1,9.392244,-0.171032
1,11.124306,0.591657
1,10.448859,-2.041982
1,9.009776,4.119407
1,-1.901108,9.335265
1,11.597427,-0.455965
1,13.437396,-1.964532
1,14.031265,-2.073951
1,16.352253,2.982834
1,13.691124,2.084249
1,29.223219,3.653272
1,-2.590027,5.312501
1,10.135618,-2.696151
1,39.405899,-4.252948
1,10.364811,0.223867
1,8.910325,5.117758
1,-10.617175,7.61164
1,12.679448,0.132083
1,-8.339921,5.474605
1,-8.784992,5.312049
1,15.652643,2.577395
1,-8.543673,0.54682
1,9.999921,-1.888756
1,-1.791371,11.02653
1,16.062275,-2.399528
1,16.320492,2.270441
1,11.252568,-3.929523
1,-11.001874,7.327738
1,36.875,-0.375
1,-9.736,8.032
1,-7.732,5.403
1,14.850474,0.616486
1,14.994031,1.373247
1,9.694118,-2.333002
1,25.1,4.95
1,10.4,2.41
1,29.75,-0.316667
1,29.416667,4.333333
1,29.466667,0.483333
1,30.05,0.8333
1,30.466667,1.233333
1,20,-4.15
1,-9.5,6.5
1,29.716694,3.733333
1,-7.8667,9.1167
1,9.916667,2.95
