species,decimalLongitude,decimalLatitude
1,147.725,-37.925278
1,150.164657,-30.280705
1,146.485282,-38.14379
1,144.165786,-37.866403
1,148.186628,-40.843581
1,149.968202,-32.855283
1,150.22968,-34.991829
1,145.348067,-16.783911
1,147.182612,-34.804684
1,149.045136,-33.35057
1,140.800465,-34.063649
1,144.963937,-37.618752
1,145.680222,-28.069564
1,150.764832,-34.700927
1,143.694307,-36.599846
1,148.985004,-31.277558
1,145.635431,-37.570371
1,146.5629,-36.328329
1,147.487649,-36.974309
1,146.567063,-34.75974
1,150.731068,-33.900822
1,139.872325,-37.056198
1,152.635952,-31.830545
1,145.17491,-37.048367
1,146.617899,-41.148181
1,141.704825,-31.087209
1,144.344943,-19.266584
1,144.220231,-36.81861
1,151.145592,-29.785318
1,150.091586,-31.76368
1,149.206349,-36.876553
1,152.680842,-28.004762
1,148.81433,-20.254287
1,144.135131,-35.647008
1,141.834722,-36.752185
1,147.873721,-25.094763
1,144.839197,-40.444119
1,144.023225,-38.398975
1,147.823479,-43.059622
1,151.369126,-23.828951
1,133.775136,-25.274398
1,153.083702,-26.549688
1,153.335375,-29.568064
1,151.938478,-28.835925
1,151.326241,-32.738736
1,138.239762,-35.607918
1,145.296548,-34.678277
1,142.535563,-37.05976
1,149.970569,-34.304945
1,150.973736,-24.807739
1,145.779234,-36.795217
1,153.545639,-27.436655
1,152.80898,-25.249367
1,138.658233,-34.554899
1,146.293607,-38.930938
1,148.814225,-34.278043
1,148.740635,-37.801951
1,151.096138,-27.359699
1,141.412059,-38.389105
1,145.489747,-38.559403
1,148.579756,-32.244052
1,148.850839,-25.475215
1,150.28035,-35.702667
1,149.730737,-34.754122
1,144.955413,-38.387663
1,138.692383,-35.072992
1,151.900196,-24.217392
1,151.431906,-33.197147
1,152.248886,-27.524828
1,144.959006,-35.954188
1,143.5,-38.8
1,147.068942,-41.458115
1,141.847105,-37.675296
1,151.95505,-32.741422
1,153.174235,-29.136705
1,146.992486,-36.023905
1,153.247347,-28.331337
1,149.49602,-33.76102
1,150.755945,-32.374107
1,150.750037,-31.352193
1,143.5982,-37.505992
1,149.647622,-32.190495
1,148.7275,-36.361667
1,152.6,-25.9
1,149.48829,-36.108654
1,144.26715,-37.389062
1,153.1,-27
1,149,-20.9
1,149.890626,-37.184287
1,151.736633,-30.894333
1,152.441528,-24.796058
1,149.96025,-29.40842
1,149.238644,-30.59128
1,150.158095,-33.382369
1,153.2,-30.07055
1,149.21745,-35.66034
1,151.58336,-30.33163
1,151.00686,-30.57851
1,150.098664,-31.085619
1,149.176019,-35.170673
1,152.930556,-27.564897
1,153.053333,-30.891944
1,148.129483,-36.541983
1,145.6301,-35.881117
1,153.4,-27.9
1,150,-36.7
1,148.780667,-26.577375
1,150.761039,-35.15157
1,145.428558,-17.642719
1,139.566129,-34.773359
1,148.080763,-42.581727
1,145.371653,-38.026464
1,148.419374,-35.887113
1,151.705429,-29.248129
1,152.80394,-31.362114
